filepath,label_idx,label_name
aqua (1).jpg,0,aqua
aqua (10).jpg,0,aqua
aqua (11).jpg,0,aqua
aqua (12).jpg,0,aqua
aqua (13).jpg,0,aqua
aqua (14).jpg,0,aqua
aqua (15).jpg,0,aqua
aqua (16).jpg,0,aqua
aqua (17).jpg,0,aqua
aqua (18).jpg,0,aqua
aqua (19).jpg,0,aqua
aqua (2).jpg,0,aqua
aqua (20).jpg,0,aqua
aqua (21).jpg,0,aqua
aqua (22).jpg,0,aqua
aqua (23).jpg,0,aqua
aqua (24).jpg,0,aqua
aqua (25).jpg,0,aqua
aqua (3).jpg,0,aqua
aqua (4).jpg,0,aqua
aqua (5).jpg,0,aqua
aqua (6).jpg,0,aqua
aqua (7).jpg,0,aqua
aqua (8).jpg,0,aqua
aqua (9).jpg,0,aqua
chitato (1).jpg,1,chitato
chitato (10).jpg,1,chitato
chitato (11).jpg,1,chitato
chitato (12).jpg,1,chitato
chitato (13).jpg,1,chitato
chitato (14).jpg,1,chitato
chitato (15).jpg,1,chitato
chitato (16).jpg,1,chitato
chitato (17).jpg,1,chitato
chitato (18).jpg,1,chitato
chitato (19).jpg,1,chitato
chitato (2).jpg,1,chitato
chitato (20).jpg,1,chitato
chitato (21).jpg,1,chitato
chitato (22).jpg,1,chitato
chitato (23).jpg,1,chitato
chitato (24).jpg,1,chitato
chitato (25).jpg,1,chitato
chitato (3).jpg,1,chitato
chitato (4).jpg,1,chitato
chitato (5).jpg,1,chitato
chitato (6).jpg,1,chitato
chitato (7).jpg,1,chitato
chitato (8).jpg,1,chitato
chitato (9).jpg,1,chitato
pepsodent (1).jpg,2,pepsodent
pepsodent (10).jpg,2,pepsodent
pepsodent (11).jpg,2,pepsodent
pepsodent (12).jpg,2,pepsodent
pepsodent (13).jpg,2,pepsodent
pepsodent (14).jpg,2,pepsodent
pepsodent (15).jpg,2,pepsodent
pepsodent (16).jpg,2,pepsodent
pepsodent (17).jpg,2,pepsodent
pepsodent (18).jpg,2,pepsodent
pepsodent (19).jpg,2,pepsodent
pepsodent (2).jpg,2,pepsodent
pepsodent (20).jpg,2,pepsodent
pepsodent (21).jpg,2,pepsodent
pepsodent (22).jpg,2,pepsodent
pepsodent (23).jpg,2,pepsodent
pepsodent (24).jpg,2,pepsodent
pepsodent (25).jpg,2,pepsodent
pepsodent (3).jpg,2,pepsodent
pepsodent (4).jpg,2,pepsodent
pepsodent (5).jpg,2,pepsodent
pepsodent (6).jpg,2,pepsodent
pepsodent (7).jpg,2,pepsodent
pepsodent (8).jpg,2,pepsodent
pepsodent (9).jpg,2,pepsodent
shampoo (1).jpg,3,shampoo
shampoo (10).jpg,3,shampoo
shampoo (11).jpg,3,shampoo
shampoo (12).jpg,3,shampoo
shampoo (13).jpg,3,shampoo
shampoo (14).jpg,3,shampoo
shampoo (15).jpg,3,shampoo
shampoo (16).jpg,3,shampoo
shampoo (17).jpg,3,shampoo
shampoo (18).jpg,3,shampoo
shampoo (19).jpg,3,shampoo
shampoo (2).jpg,3,shampoo
shampoo (20).jpg,3,shampoo
shampoo (21).jpg,3,shampoo
shampoo (22).jpg,3,shampoo
shampoo (23).jpg,3,shampoo
shampoo (24).jpg,3,shampoo
shampoo (25).jpg,3,shampoo
shampoo (3).jpg,3,shampoo
shampoo (4).jpg,3,shampoo
shampoo (5).jpg,3,shampoo
shampoo (6).jpg,3,shampoo
shampoo (7).jpg,3,shampoo
shampoo (8).jpg,3,shampoo
shampoo (9).jpg,3,shampoo
